country,date,accumulated_comfirmed,increase_of_confirmed,increased_of_confirmed
Afghanistan,2020-03-01,1,0.0,0
Afghanistan,2020-03-13,7,6.0,6
Afghanistan,2020-03-21,24,17.0,17
Afghanistan,2020-03-08,4,-20.0,-20
Afghanistan,2020-03-26,94,90.0,90
Afghanistan,2020-03-03,1,-93.0,-93
Afghanistan,2020-03-04,1,0.0,0
Afghanistan,2020-03-09,4,3.0,3
Afghanistan,2020-03-20,24,20.0,20
Afghanistan,2020-03-14,11,-13.0,-13
Afghanistan,2020-03-16,21,10.0,10
Afghanistan,2020-03-15,16,-5.0,-5
Afghanistan,2020-03-10,5,-11.0,-11
Afghanistan,2020-03-24,74,69.0,69
Afghanistan,2020-03-05,1,-73.0,-73
Afghanistan,2020-03-02,1,0.0,0
Afghanistan,2020-03-27,110,109.0,109
Afghanistan,2020-03-07,1,-109.0,-109
Afghanistan,2020-03-22,40,39.0,39
Afghanistan,2020-03-12,7,-33.0,-33
Afghanistan,2020-03-17,22,15.0,15
Afghanistan,2020-03-19,22,0.0,0
Afghanistan,2020-03-18,22,0.0,0
Afghanistan,2020-03-25,84,62.0,62
Afghanistan,2020-03-06,1,-83.0,-83
Afghanistan,2020-03-23,40,39.0,39
Afghanistan,2020-03-11,7,-33.0,-33
Albania,2020-03-18,59,0.0,0
Albania,2020-03-08,0,-59.0,-59
Albania,2020-03-14,38,38.0,38
Albania,2020-03-27,186,148.0,148
Albania,2020-03-03,0,-186.0,-186
Albania,2020-03-02,0,0.0,0
Albania,2020-03-05,0,0.0,0
Albania,2020-03-09,2,2.0,2
Albania,2020-03-06,0,-2.0,-2
Albania,2020-03-04,0,0.0,0
Albania,2020-03-24,123,123.0,123
Albania,2020-03-19,64,-59.0,-59
Albania,2020-03-20,70,6.0,6
Albania,2020-03-25,146,76.0,76
Albania,2020-03-07,0,-146.0,-146
Albania,2020-03-21,76,76.0,76
Albania,2020-03-26,174,98.0,98
Albania,2020-03-11,12,-162.0,-162
Albania,2020-03-15,42,30.0,30
Albania,2020-03-17,55,13.0,13
Albania,2020-03-01,0,-55.0,-55
Albania,2020-03-12,23,23.0,23
Albania,2020-03-16,51,28.0,28
Albania,2020-03-13,33,-18.0,-18
Albania,2020-03-23,104,71.0,71
Albania,2020-03-10,10,-94.0,-94
Albania,2020-03-22,89,79.0,79
Algeria,2020-03-27,409,0.0,0
Algeria,2020-03-20,90,-319.0,-319
Algeria,2020-03-18,74,-16.0,-16
Algeria,2020-03-07,17,-57.0,-57
Algeria,2020-03-25,302,285.0,285
Algeria,2020-03-17,60,-242.0,-242
Algeria,2020-03-02,3,-57.0,-57
Algeria,2020-03-08,19,16.0,16
Algeria,2020-03-24,264,245.0,245
Algeria,2020-03-01,1,-263.0,-263
Algeria,2020-03-22,201,200.0,200
Algeria,2020-03-04,12,-189.0,-189
Algeria,2020-03-16,54,42.0,42
Algeria,2020-03-06,17,-37.0,-37
Algeria,2020-03-12,24,7.0,7
Algeria,2020-03-09,20,-4.0,-4
Algeria,2020-03-21,139,119.0,119
Algeria,2020-03-05,12,-127.0,-127
Algeria,2020-03-19,87,75.0,75
Algeria,2020-03-11,20,-67.0,-67
Algeria,2020-03-15,48,28.0,28
Algeria,2020-03-14,37,-11.0,-11
Algeria,2020-03-03,5,-32.0,-32
Algeria,2020-03-13,26,21.0,21
Algeria,2020-03-26,367,341.0,341
Algeria,2020-03-10,20,-347.0,-347
Algeria,2020-03-23,230,210.0,210
Andorra,2020-03-06,1,0.0,0
Andorra,2020-03-02,1,0.0,0
Andorra,2020-03-24,164,163.0,163
Andorra,2020-03-05,1,-163.0,-163
Andorra,2020-03-12,1,0.0,0
Andorra,2020-03-27,267,266.0,266
Andorra,2020-03-07,1,-266.0,-266
Andorra,2020-03-01,0,-1.0,-1
Andorra,2020-03-22,113,113.0,113
Andorra,2020-03-17,39,-74.0,-74
Andorra,2020-03-10,1,-38.0,-38
Andorra,2020-03-19,53,52.0,52
Andorra,2020-03-14,1,-52.0,-52
Andorra,2020-03-15,1,0.0,0
Andorra,2020-03-11,1,0.0,0
Andorra,2020-03-08,1,0.0,0
Andorra,2020-03-13,1,0.0,0
Andorra,2020-03-03,1,0.0,0
Andorra,2020-03-09,1,0.0,0
Andorra,2020-03-16,2,1.0,1
Andorra,2020-03-23,133,131.0,131
Andorra,2020-03-25,188,55.0,55
Andorra,2020-03-04,1,-187.0,-187
Andorra,2020-03-21,88,87.0,87
Andorra,2020-03-20,75,-13.0,-13
Andorra,2020-03-18,39,-36.0,-36
Andorra,2020-03-26,224,185.0,185
Angola,2020-03-14,0,0.0,0
Angola,2020-03-11,0,0.0,0
Angola,2020-03-19,0,0.0,0
Angola,2020-03-07,0,0.0,0
Angola,2020-03-08,0,0.0,0
Angola,2020-03-21,2,2.0,2
Angola,2020-03-27,4,2.0,2
Angola,2020-03-13,0,-4.0,-4
Angola,2020-03-26,4,4.0,4
Angola,2020-03-06,0,-4.0,-4
Angola,2020-03-18,0,0.0,0
Angola,2020-03-03,0,0.0,0
Angola,2020-03-05,0,0.0,0
Angola,2020-03-22,2,2.0,2
Angola,2020-03-09,0,-2.0,-2
Angola,2020-03-20,1,1.0,1
Angola,2020-03-04,0,-1.0,-1
Angola,2020-03-01,0,0.0,0
Angola,2020-03-23,3,3.0,3
Angola,2020-03-25,3,0.0,0
Angola,2020-03-24,3,0.0,0
Angola,2020-03-17,0,-3.0,-3
Angola,2020-03-10,0,0.0,0
Angola,2020-03-02,0,0.0,0
Angola,2020-03-16,0,0.0,0
Angola,2020-03-12,0,0.0,0
Angola,2020-03-15,0,0.0,0
Antigua and Barbuda,2020-03-16,1,0.0,0
Antigua and Barbuda,2020-03-03,0,-1.0,-1
Antigua and Barbuda,2020-03-13,1,1.0,1
Antigua and Barbuda,2020-03-26,7,6.0,6
Antigua and Barbuda,2020-03-09,0,-7.0,-7
Antigua and Barbuda,2020-03-23,3,3.0,3
Antigua and Barbuda,2020-03-02,0,-3.0,-3
Antigua and Barbuda,2020-03-12,0,0.0,0
Antigua and Barbuda,2020-03-10,0,0.0,0
Antigua and Barbuda,2020-03-20,1,1.0,1
Antigua and Barbuda,2020-03-19,1,0.0,0
Antigua and Barbuda,2020-03-27,7,6.0,6
Antigua and Barbuda,2020-03-17,1,-6.0,-6
Antigua and Barbuda,2020-03-06,0,-1.0,-1
Antigua and Barbuda,2020-03-07,0,0.0,0
Antigua and Barbuda,2020-03-11,0,0.0,0
Antigua and Barbuda,2020-03-18,1,1.0,1
Antigua and Barbuda,2020-03-21,1,0.0,0
Antigua and Barbuda,2020-03-08,0,-1.0,-1
Antigua and Barbuda,2020-03-05,0,0.0,0
Antigua and Barbuda,2020-03-22,1,1.0,1
Antigua and Barbuda,2020-03-25,3,2.0,2
Antigua and Barbuda,2020-03-15,1,-2.0,-2
Antigua and Barbuda,2020-03-24,3,2.0,2
