country,date,accumulated_deaths,increase_of_deaths
Afghanistan,2020-03-01,0,0
Afghanistan,2020-03-13,0,0
Afghanistan,2020-03-21,0,0
Afghanistan,2020-03-08,0,0
Afghanistan,2020-03-26,4,4
Afghanistan,2020-03-03,0,-4
Afghanistan,2020-03-04,0,0
Afghanistan,2020-03-09,0,0
Afghanistan,2020-03-20,0,0
Afghanistan,2020-03-14,0,0
Afghanistan,2020-03-16,0,0
Afghanistan,2020-03-15,0,0
Afghanistan,2020-03-10,0,0
Afghanistan,2020-03-24,1,1
Afghanistan,2020-03-05,0,-1
Afghanistan,2020-03-02,0,0
Afghanistan,2020-03-27,4,4
Afghanistan,2020-03-07,0,-4
Afghanistan,2020-03-22,1,1
Afghanistan,2020-03-12,0,-1
Afghanistan,2020-03-17,0,0
Afghanistan,2020-03-19,0,0
Afghanistan,2020-03-18,0,0
Afghanistan,2020-03-25,2,2
Afghanistan,2020-03-06,0,-2
Afghanistan,2020-03-23,1,1
Afghanistan,2020-03-11,0,-1
Albania,2020-03-18,2,0
Albania,2020-03-08,0,-2
Albania,2020-03-14,1,1
Albania,2020-03-27,8,7
Albania,2020-03-03,0,-8
Albania,2020-03-02,0,0
Albania,2020-03-05,0,0
Albania,2020-03-09,0,0
Albania,2020-03-06,0,0
Albania,2020-03-04,0,0
Albania,2020-03-24,5,5
Albania,2020-03-19,2,-3
Albania,2020-03-20,2,0
Albania,2020-03-25,5,3
Albania,2020-03-07,0,-5
Albania,2020-03-21,2,2
Albania,2020-03-26,6,4
Albania,2020-03-11,1,-5
Albania,2020-03-15,1,0
Albania,2020-03-17,1,0
Albania,2020-03-01,0,-1
Albania,2020-03-12,1,1
Albania,2020-03-16,1,0
Albania,2020-03-13,1,0
Albania,2020-03-23,4,3
Albania,2020-03-10,0,-4
Albania,2020-03-22,2,2
Algeria,2020-03-27,26,0
Algeria,2020-03-20,11,-15
Algeria,2020-03-18,7,-4
Algeria,2020-03-07,0,-7
Algeria,2020-03-25,21,21
Algeria,2020-03-17,4,-17
Algeria,2020-03-02,0,-4
Algeria,2020-03-08,0,0
Algeria,2020-03-24,19,19
Algeria,2020-03-01,0,-19
Algeria,2020-03-22,17,17
Algeria,2020-03-04,0,-17
Algeria,2020-03-16,4,4
Algeria,2020-03-06,0,-4
Algeria,2020-03-12,1,1
Algeria,2020-03-09,0,-1
Algeria,2020-03-21,15,15
Algeria,2020-03-05,0,-15
Algeria,2020-03-19,9,9
Algeria,2020-03-11,0,-9
Algeria,2020-03-15,4,4
Algeria,2020-03-14,3,-1
Algeria,2020-03-03,0,-3
Algeria,2020-03-13,2,2
Algeria,2020-03-26,25,23
Algeria,2020-03-10,0,-25
Algeria,2020-03-23,17,17
Andorra,2020-03-06,0,0
Andorra,2020-03-02,0,0
Andorra,2020-03-24,1,1
Andorra,2020-03-05,0,-1
Andorra,2020-03-12,0,0
Andorra,2020-03-27,3,3
Andorra,2020-03-07,0,-3
Andorra,2020-03-01,0,0
Andorra,2020-03-22,1,1
Andorra,2020-03-17,0,-1
Andorra,2020-03-10,0,0
Andorra,2020-03-19,0,0
Andorra,2020-03-14,0,0
Andorra,2020-03-15,0,0
Andorra,2020-03-11,0,0
Andorra,2020-03-08,0,0
Andorra,2020-03-13,0,0
Andorra,2020-03-03,0,0
Andorra,2020-03-09,0,0
Andorra,2020-03-16,0,0
Andorra,2020-03-23,1,1
Andorra,2020-03-25,1,0
Andorra,2020-03-04,0,-1
Andorra,2020-03-21,0,0
Andorra,2020-03-20,0,0
Andorra,2020-03-18,0,0
Andorra,2020-03-26,3,3
Angola,2020-03-14,0,0
Angola,2020-03-11,0,0
Angola,2020-03-19,0,0
Angola,2020-03-07,0,0
Angola,2020-03-08,0,0
Angola,2020-03-21,0,0
Angola,2020-03-27,0,0
Angola,2020-03-13,0,0
Angola,2020-03-26,0,0
Angola,2020-03-06,0,0
Angola,2020-03-18,0,0
Angola,2020-03-03,0,0
Angola,2020-03-05,0,0
Angola,2020-03-22,0,0
